"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Agt",2.10554904321596e-06,-0.367601449678353,0.114,0.144,0.0473095814520195
"Nme7",2.10886465989522e-06,0.295472950704198,0.158,0.127,0.0473840800431857
"Poc1b",2.12151163242889e-06,0.407119499067445,0.101,0.076,0.0476682448690448
"Tmem68",2.1403688778452e-06,0.31928197790638,0.148,0.118,0.0480919483163039
"Aimp1",2.19079235416497e-06,-0.312211666802518,0.171,0.205,0.0492249134057326
"Nsf",2.20312163721801e-06,0.300900539712243,0.236,0.2,0.0495019400666514
"Cd164",2.21751722424838e-06,-0.261205120153213,0.345,0.377,0.0498253945116368
"Dapp1",2.22452531482763e-06,-0.266449382138194,0.308,0.345,0.0499828592988621
"Fads3",2.23411914951275e-06,-0.350032599730023,0.104,0.133,0.050198423170402
"Zcchc9",2.23646473214815e-06,-0.450652657773763,0.084,0.11,0.0502511260666368
"Jam2",2.26786208702828e-06,-0.25776405754221,0.243,0.281,0.0509565932334384
"Mdh2",2.27960789876364e-06,-0.371997259357478,0.088,0.116,0.0512205098773203
"Stx17",2.29436734037557e-06,0.273836044995741,0.191,0.158,0.0515521397708986
"Armc9",2.37237293921414e-06,0.337606259727924,0.129,0.101,0.0533048475712025
"Hccs",2.46900517921043e-06,-0.48918534319311,0.101,0.129,0.0554760773716792
"Tspan4",2.4935597059918e-06,-0.395074726752384,0.109,0.139,0.0560277930339298
"Necap2",2.50325484648936e-06,-0.435557329298581,0.078,0.103,0.0562456331457694
"Cct7",2.53866186693251e-06,-0.358619954243567,0.137,0.168,0.0570411934881067
"Zfp760",2.56089418910633e-06,0.350134861508731,0.112,0.086,0.05754073153503
"Ehd3",2.56602364397183e-06,0.454231128440523,0.107,0.082,0.0576559852564032
"Kif3c",2.57504602966762e-06,0.260304821062829,0.2,0.166,0.0578587092406018
"Fntb",2.57888967538698e-06,0.348751300991557,0.123,0.095,0.05794507211627
"Arhgef7",2.60421443622983e-06,0.282904297325192,0.18,0.148,0.058514094167648
"Papolg",2.62540500740464e-06,0.319396032798061,0.148,0.118,0.0589902251113748
"Cyth1",2.91889420705121e-06,0.269565623472808,0.262,0.227,0.0655846339382337
"Cbx1",2.93009124264348e-06,-0.318347243593172,0.205,0.238,0.0658362201309563
"Hexa",2.94775715188344e-06,-0.347440155113499,0.119,0.149,0.066233155445669
"Rdh14",2.98914137904393e-06,-0.44890779419034,0.08,0.106,0.067163017645738
"Ctbp2",3.05627780850922e-06,-0.347440155113499,0.172,0.205,0.0686715060793936
"Ninj2",3.07145138812004e-06,-0.289337200549931,0.147,0.18,0.0690124412396692
"Dazap1",3.1414392340884e-06,0.293243901834502,0.174,0.143,0.0705849981507322
"Eif2ak4",3.17176319482866e-06,0.251636502880554,0.239,0.202,0.0712663472246051
"Akirin1",3.20730902551548e-06,-0.389260330808126,0.133,0.163,0.0720650264943073
"Zfp974",3.27602396575769e-06,0.38545577474366,0.113,0.087,0.0736089824866096
"Rpn2",3.31356193681507e-06,-0.296445624618239,0.179,0.213,0.0744524231582979
"Zpbp",3.3557330626236e-06,0.333737660866961,0.126,0.098,0.0753999661840897
"Atp6v1d",3.36695951678158e-06,-0.386165524385261,0.133,0.163,0.0756522133825652
"Senp5",3.37909844755253e-06,0.272129488751347,0.246,0.21,0.0759249630180578
"Arhgef25",3.39053816171528e-06,0.338256768742197,0.125,0.097,0.0761820019555807
"Samd8",3.40794089876888e-06,-0.253250730949202,0.339,0.375,0.076573024054438
"Pigf",3.47186770567699e-06,-0.408066514065,0.09,0.116,0.0780093954788562
"Mms19",3.51344205883009e-06,0.308983186694376,0.169,0.138,0.0789435296198532
"Klhl20",3.520663989483e-06,0.343503134002954,0.122,0.095,0.0791057991796936
"Tango6",3.55264526311028e-06,0.320376930962291,0.136,0.108,0.0798243864168248
"Siae",3.60371354321191e-06,-0.465310563639403,0.083,0.109,0.0809718396024284
"Bin3",3.66711096456627e-06,0.328851743553852,0.12,0.093,0.0823963162628396
"Mlh1",3.67159619477476e-06,0.299450094750859,0.157,0.127,0.082497094900394
"Myl12b",3.82906167609005e-06,-0.338326447984,0.153,0.185,0.0860351868000673
"Lrp8",3.83228136835465e-06,0.279847755081179,0.223,0.188,0.0861075300655606
"Rbks",3.92133207382632e-06,0.345644320854163,0.166,0.136,0.0881084103668035
"Intu",3.95126265147792e-06,0.282656571152672,0.189,0.157,0.0887809205160575
"Tmem170b",3.96576761335392e-06,0.302062597802368,0.177,0.145,0.0891068325044491
"Hsd17b11",3.97112337695452e-06,-0.318902399638003,0.166,0.199,0.0892271711567912
"Endod1",4.0372180564102e-06,0.298218277295211,0.153,0.123,0.0907122525094807
"Cfl2",4.04869930919926e-06,-0.322643223647414,0.241,0.273,0.0909702247783981
"Wasf1",4.07357337461806e-06,0.465050531072535,0.105,0.081,0.0915291201542932
"Cnbp",4.11405312828191e-06,-0.255674440370802,0.282,0.316,0.0924386597393662
"Zfp946",4.15949075104339e-06,0.390305063519607,0.118,0.092,0.093459597685194
"Dcbld2",4.16126354901738e-06,0.250709777839981,0.198,0.164,0.0934994306828714
"Zfp592",4.34201379572146e-06,0.270404605188936,0.173,0.142,0.0975607079760654
"Ehmt2",4.53106505279533e-06,0.297729274644881,0.168,0.138,0.101808500671258
"Washc5",4.54214454486008e-06,0.254936538320316,0.191,0.158,0.102057445778461
"Cdipt",4.57890516881599e-06,-0.434504516858229,0.084,0.11,0.102883420238127
"Tmx4",4.65486154974501e-06,-0.273604274285334,0.242,0.277,0.104590084161221
"Ppm1e",4.66347703784995e-06,0.281577525685593,0.269,0.235,0.10478366556345
"Nub1",4.6966266895131e-06,-0.351101819619471,0.15,0.182,0.10552850508667
"H2-Q7",4.77051613554142e-06,-0.421120386818891,0.109,0.136,0.10718872704948
